text,label
"Your account is ready and your notification is available",0
"Your monthly statement is now available in your account",0
"Your GitHub notification is available",0
"Your meeting has been scheduled for tomorrow",0
"Thank you for contacting our support team",0
"Your order has been shipped successfully",0
"Your password reset request has been completed",0
"Please find the report attached for your review",0
"URGENT verify your account immediately",1
"Your account will be suspended within 24 hours",1
"Click here to verify your password",1
"Confirm your bank account immediately",1
"Your payment failed please verify your card",1
"Immediate action required login to secure your account",1
"Send your OTP to confirm your identity",1
"Your account has been compromised verify now",1
"Final warning your account will be closed",1
"Urgent payment required today",1
"Click the link and enter your credentials",1
"Verify your banking information immediately",1
